train,test,model,level,seed,accuracy,balanced_accuracy,sensitivity,specificity,f1,roc_auc,mcc,accuracy_bootmean,accuracy_lo95,accuracy_hi95,roc_auc_bootmean,roc_auc_lo95,roc_auc_hi95,sensitivity_bootmean,sensitivity_lo95,sensitivity_hi95,specificity_bootmean,specificity_lo95,specificity_hi95
kaggle_spiral,handpd_spiral,resnet50,image,4,0.29347826086956524,0.5397897897897898,0.13513513513513514,0.9444444444444444,0.23529411764705882,0.7123686186186186,0.09730046165229746,0.29370516304347827,0.21188858695652174,0.37771739130434784,0.7143931917603035,0.5885274511765054,0.8207785417193825,0.13603887735533174,0.08124577702702702,0.19927658636897766,0.9448118060634021,0.875,1.0
kaggle_spiral,handpd_spiral,resnet50,subject,4,0.2717391304347826,0.5262762762762763,0.10810810810810811,0.9444444444444444,0.1927710843373494,0.737987987987988,0.07017551794021626,0.27139130434782605,0.18478260869565216,0.3695652173913043,0.7403640072653958,0.5826623376623377,0.8761552074052072,0.1086516294321594,0.0410958904109589,0.18571428571428572,0.9432355819096544,0.8125,1.0
kaggle_spiral,handpd_spiral,efficientnet_b0,image,4,0.6114130434782609,0.5850225225225225,0.6283783783783784,0.5416666666666666,0.7223300970873786,0.6360266516516517,0.1374234646754841,0.6116535326086956,0.5597826086956522,0.6657608695652174,0.6368968294513963,0.5694241527855056,0.6988120447603384,0.6286709042914699,0.5694444444444444,0.6883128002134852,0.5413761515348698,0.4423076923076923,0.6388888888888888
kaggle_spiral,handpd_spiral,efficientnet_b0,subject,4,0.75,0.7184684684684685,0.7702702702702703,0.6666666666666666,0.8321167883211679,0.7342342342342342,0.37307968255223595,0.7503097826086956,0.6521739130434783,0.8369565217391305,0.7362146643152985,0.6073470345345344,0.848114420451725,0.7706149824009988,0.6714285714285714,0.8648648648648649,0.6670815194600872,0.42857142857142855,0.8823529411764706
kaggle_spiral,handpd_spiral,vgg16,image,5,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.8141422672672672,0.0,0.8046195652173913,0.7282608695652174,0.8804347826086957,0.8137939401243058,0.695287455424174,0.913328744593977,1.0,1.0,1.0,0.0,0.0,0.0
kaggle_spiral,handpd_spiral,vgg16,subject,5,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.8385885885885886,0.0,0.8046195652173913,0.7282608695652174,0.8804347826086957,0.8382196237136509,0.7088651671793119,0.9444844989185293,1.0,1.0,1.0,0.0,0.0,0.0
kaggle_spiral,handpd_spiral,resnet50,image,5,0.47554347826086957,0.6161786786786787,0.38513513513513514,0.8472222222222222,0.5415676959619953,0.6714057807807808,0.19463027172325,0.47593614130434786,0.4048913043478261,0.5489809782608692,0.6718423631640337,0.5812952850156173,0.7582174068599848,0.38588297817299677,0.31,0.46233304794520547,0.846618442383854,0.75,0.9375744047619043
kaggle_spiral,handpd_spiral,resnet50,subject,5,0.43478260869565216,0.6066066066066066,0.32432432432432434,0.8888888888888888,0.48,0.7214714714714715,0.18784843700982792,0.435820652173913,0.33695652173913043,0.532608695652174,0.7221162766505793,0.5840653153153154,0.8529250968817592,0.3259306953656822,0.2191780821917808,0.4328701885310289,0.8878630307426597,0.7222222222222222,1.0
kaggle_spiral,handpd_spiral,efficientnet_b0,image,5,0.49728260869565216,0.6402027027027027,0.40540540540540543,0.875,0.5647058823529412,0.7870213963963965,0.23313349769634878,0.4977350543478261,0.41847826086956524,0.5869565217391305,0.7866910065138182,0.6605400472689075,0.8920628615748101,0.40598640422846755,0.32432432432432434,0.49666883116883115,0.8750776961230723,0.7272159090909092,0.9868421052631579
kaggle_spiral,handpd_spiral,efficientnet_b0,subject,5,0.4782608695652174,0.6336336336336337,0.3783783783783784,0.8888888888888888,0.5384615384615384,0.8093093093093092,0.22617334101665973,0.47914673913043476,0.3804347826086957,0.5869565217391305,0.808669434884177,0.6586163321391766,0.9294294294294294,0.3795834341784806,0.27535326086956524,0.49333766233766235,0.8886136560516585,0.7271464646464647,1.0
