dataset,model,protocol,level,n_train_subjects,n_test_subjects,n_overlapping_subjects,overlap_fraction_of_test,seed,accuracy,balanced_accuracy,sensitivity,specificity,f1,roc_auc,mcc,accuracy_bootmean,accuracy_lo95,accuracy_hi95,roc_auc_bootmean,roc_auc_lo95,roc_auc_hi95,sensitivity_bootmean,sensitivity_lo95,sensitivity_hi95,specificity_bootmean,specificity_lo95,specificity_hi95,p1_leak_fraction,acc_same_subject_seen,acc_subject_unseen,permutation_floor_balacc,permutation_floor_auc,permutation_floor_acc
kaggle:spiral,efficientnet_b0,P1_image,subject,,,,,3.0,0.5357142857142857,0.5615384615384615,0.2,0.9230769230769231,0.3157894736842105,0.6666666666666666,0.17541160386140583,0.5403571428571429,0.35714285714285715,0.6785714285714286,0.6723885416990376,0.4691113945578231,0.8609662804515745,0.19199144667681822,0.0,0.4118872549019608,0.9228526008520204,0.726948051948052,1.0,,,,,,
kaggle:spiral,efficientnet_b0,P2_subject,image,,,,,3.0,0.6470588235294118,0.6470588235294117,0.5098039215686274,0.7843137254901961,0.5909090909090909,0.7181853133410226,0.30586777135731963,0.6468534995103721,0.4581845238095238,0.8057065217391305,0.7066385922436027,0.48814780055014434,0.8763445071010861,0.49045092506961424,0.24951923076923077,0.7256862745098039,0.7821488182172723,0.5638888888888889,0.9506613756613757,,,,,,
kaggle:spiral,efficientnet_b0,P2_subject,subject,,,,,3.0,0.5714285714285714,0.5846153846153846,0.4,0.7692307692307693,0.5,0.6717948717948717,0.18071682129971955,0.5789285714285713,0.42857142857142855,0.75,0.6686764835442827,0.4614973262032086,0.8461988304093567,0.4068524382609135,0.17622549019607844,0.6844129554655871,0.7665538736719077,0.5383333333333333,1.0,,,,,,
kaggle:spiral,efficientnet_b0,leakage_probe,image,,,,,3.0,,,,,,,,,,,,,,,,,,,,0.9117647058823529,0.6344086021505376,0.4444444444444444,0.5588235294117647,0.6082276047673971,0.5588235294117647
kaggle:spiral,vgg16,P1_image,image,,,,,4.0,0.696078431372549,0.696078431372549,0.49019607843137253,0.9019607843137255,0.6172839506172839,0.7843137254901961,0.43033148291193524,0.6893345352760989,0.5234593837535014,0.8335416666666667,0.7827917483354265,0.668280009920635,0.9125485008818343,0.4876205635845403,0.2740196078431373,0.7436274509803922,0.891500854023545,0.7777777777777778,0.9778431372549019,,,,,,
kaggle:spiral,vgg16,P1_image,subject,,,,,4.0,0.6428571428571429,0.6615384615384616,0.4,0.9230769230769231,0.5454545454545454,0.7948717948717948,0.3721042037676254,0.6433928571428572,0.4642857142857143,0.8223214285714288,0.8015661384531424,0.6408163265306122,0.9375318877551021,0.3979383449153186,0.14285714285714285,0.6666666666666666,0.9301779002516232,0.75,1.0,,,,,,
kaggle:spiral,vgg16,P2_subject,image,,,,,4.0,0.7450980392156863,0.7450980392156863,0.5098039215686274,0.9803921568627451,0.6666666666666666,0.81199538638985,0.5555555555555556,0.7367866035389146,0.5708333333333333,0.8704861111111111,0.7987700205916984,0.5708546865715983,0.9224851455733809,0.5013001617390493,0.19375,0.7556481481481482,0.9764620471790494,0.9214460784313725,1.0,,,,,,
kaggle:spiral,vgg16,P2_subject,subject,,,,,4.0,0.6785714285714286,0.7,0.4,1.0,0.5714285714285714,0.7897435897435897,0.48617243480439776,0.6758928571428572,0.5,0.8571428571428571,0.7940142805182127,0.5739030612244899,0.9335897435897437,0.3979383449153186,0.14285714285714285,0.6666666666666666,1.0,1.0,1.0,,,,,,
kaggle:spiral,vgg16,leakage_probe,image,,,,,4.0,,,,,,,,,,,,,,,,,,,,0.9117647058823529,0.6989247311827957,0.6666666666666666,0.5099415204678363,0.5458089668615984,0.5490196078431373
kaggle:spiral,resnet50,P1_image,image,,,,,4.0,0.7843137254901961,0.7843137254901961,0.7843137254901961,0.7843137254901961,0.7843137254901961,0.8469819300269127,0.5686274509803921,0.7834945237238969,0.6775,0.8712455436720142,0.8454177471271237,0.7236881731859411,0.9443384484228474,0.7833404827925473,0.6489661654135339,0.8986359761295822,0.777181330181354,0.5713095238095238,0.9028935185185185,,,,,,
kaggle:spiral,resnet50,P1_image,subject,,,,,4.0,0.75,0.7564102564102564,0.6666666666666666,0.8461538461538461,0.7407407407407407,0.8974358974358976,0.516811394121702,0.7541071428571429,0.6071428571428571,0.8928571428571429,0.902859996593411,0.759766231053825,1.0,0.6688787786216192,0.42857142857142855,0.8888888888888888,0.8547458431661218,0.6421703296703297,1.0,,,,,,
kaggle:spiral,resnet50,P2_subject,image,,,,,4.0,0.696078431372549,0.696078431372549,0.5686274509803921,0.8235294117647058,0.651685393258427,0.7508650519031143,0.40555355282690636,0.6824630988230186,0.5206101190476191,0.8000520833333334,0.7362219495959224,0.5500967352753067,0.8817757045766305,0.556380222792771,0.3333333333333333,0.7623015873015874,0.8049028239155629,0.5895833333333333,0.9488095238095238,,,,,,
kaggle:spiral,resnet50,P2_subject,subject,,,,,4.0,0.6071428571428571,0.617948717948718,0.4666666666666667,0.7692307692307693,0.56,0.7025641025641026,0.24552983583446694,0.5958928571428571,0.42857142857142855,0.75,0.6943389558996523,0.48429528061224497,0.880254407051282,0.45219922045618643,0.19941176470588237,0.6671875,0.7652047291159133,0.5286764705882353,1.0,,,,,,
kaggle:spiral,resnet50,leakage_probe,image,,,,,4.0,,,,,,,,,,,,,,,,,,,,0.9117647058823529,0.7849462365591398,0.7777777777777778,0.5461988304093567,0.5793372319688109,0.5686274509803921
kaggle:spiral,efficientnet_b0,P1_image,image,,,,,4.0,0.5784313725490197,0.5784313725490196,0.6470588235294118,0.5098039215686274,0.6055045871559633,0.6520569011918493,0.15836151649297917,0.5787618644892832,0.47909226190476195,0.6771006944444445,0.6468435064211383,0.5295522186147187,0.7479458648989901,0.6527454359810634,0.5302807486631016,0.7859432234432234,0.5006492312558734,0.35086805555555556,0.6666666666666666,,,,,,
