dataset,model,protocol,level,seed,accuracy,balanced_accuracy,sensitivity,specificity,f1,roc_auc,mcc,accuracy_bootmean,accuracy_lo95,accuracy_hi95,roc_auc_bootmean,roc_auc_lo95,roc_auc_hi95,sensitivity_bootmean,sensitivity_lo95,sensitivity_hi95,specificity_bootmean,specificity_lo95,specificity_hi95,p1_leak_fraction,acc_same_subject_seen,acc_subject_unseen,permutation_floor_balacc,permutation_floor_auc,permutation_floor_acc
handpd:spiral,vgg16,P1_image,image,3,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.6177271021021021,0.0,0.8002717391304347,0.7065217391304348,0.8698369565217392,0.6179638718378792,0.5558630952380952,0.6854300471487972,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:spiral,vgg16,P1_image,subject,3,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.7124624624624625,0.0,0.8005978260869564,0.7282608695652174,0.8804347826086957,0.7152187159025835,0.5894607843137255,0.8412373698939514,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:spiral,vgg16,P2_subject,image,3,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.7467623873873873,0.0,0.794836956521739,0.7065217391304348,0.8804347826086957,0.7464530302144071,0.6157588798788332,0.8466079914007191,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:spiral,vgg16,P2_subject,subject,3,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.743993993993994,0.0,0.8005978260869564,0.7282608695652174,0.8804347826086957,0.7426235623401571,0.6192504767522792,0.8618912623066105,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:spiral,vgg16,leakage_probe,image,3,,,,,,,,,,,,,,,,,,,,0.967391304347826,0.797752808988764,1.0,0.5,0.5365521771771773,0.8043478260869565
handpd:spiral,resnet50,P1_image,image,3,0.8396739130434783,0.6007882882882882,0.9932432432432432,0.20833333333333334,0.9088098918083463,0.8703078078078078,0.3809554140315749,0.8374864130434783,0.7633831521739131,0.8967391304347826,0.8734731260153441,0.7961078966547717,0.9381706574675325,0.9929156856478368,0.9826327758215962,1.0,0.2148214063851902,0.11956521739130435,0.3215178571428572,,,,,,
handpd:spiral,resnet50,P1_image,subject,3,0.8260869565217391,0.5555555555555556,1.0,0.1111111111111111,0.9024390243902439,0.9076576576576577,0.302254900194121,0.8226086956521739,0.7391304347826086,0.8913043478260869,0.9106416559243032,0.8286925236925238,0.9766249314642509,1.0,1.0,1.0,0.11043270920461659,0.0,0.2669444444444445,,,,,,
handpd:spiral,resnet50,P2_subject,image,3,0.8206521739130435,0.5521771771771772,0.9932432432432432,0.1111111111111111,0.8990825688073395,0.8617210960960962,0.25461334695586596,0.8135054347826087,0.7255434782608695,0.8885869565217391,0.8656024972830494,0.7422665600403684,0.9463407230790043,0.9934835894902286,0.9823749482187242,1.0,0.1163233217991455,0.022639860139860142,0.23537767379679145,,,,,,
handpd:spiral,resnet50,P2_subject,subject,3,0.8260869565217391,0.5555555555555556,1.0,0.1111111111111111,0.9024390243902439,0.8813813813813813,0.302254900194121,0.8240217391304347,0.7391304347826086,0.8913043478260869,0.8849830961407362,0.7577034908320386,0.9728361742424243,1.0,1.0,1.0,0.11829874388036994,0.0,0.28607142857142864,,,,,,
handpd:spiral,resnet50,leakage_probe,image,3,,,,,,,,,,,,,,,,,,,,0.967391304347826,0.8342696629213483,1.0,0.5,0.6086242492492492,0.8043478260869565
handpd:spiral,efficientnet_b0,P1_image,image,3,0.8885869565217391,0.7415540540540541,0.9831081081081081,0.5,0.9341894060995185,0.9266141141141141,0.6091028414245188,0.8883695652173913,0.8260190217391304,0.9347826086956522,0.9306052855924081,0.8548890037785947,0.9813368055555554,0.983115180613963,0.9577158603796693,1.0,0.5084808631484123,0.34207535885167467,0.647784090909091,,,,,,
handpd:spiral,efficientnet_b0,P1_image,subject,3,0.9130434782608695,0.7987987987987988,0.9864864864864865,0.6111111111111112,0.948051948051948,0.9474474474474475,0.7039232969635314,0.9133152173913044,0.8586956521739131,0.967391304347826,0.9494542242308115,0.8616481718594395,0.9961295034079843,0.9872783164111081,0.958318661971831,1.0,0.6143297421289294,0.3879901960784314,0.8126420454545454,,,,,,
handpd:spiral,efficientnet_b0,P2_subject,image,3,0.8478260869565217,0.6373873873873874,0.9831081081081081,0.2916666666666667,0.9122257053291536,0.8696978228228228,0.4253919207289251,0.8418070652173912,0.7716711956521739,0.904891304347826,0.8715622756906087,0.7359816751105567,0.9569796426518443,0.9833515410565216,0.9626865671641791,0.9971323529411765,0.2912161316154429,0.12479166666666668,0.4286210317460317,,,,,,
handpd:spiral,efficientnet_b0,P2_subject,subject,3,0.8369565217391305,0.5833333333333334,1.0,0.16666666666666666,0.9079754601226994,0.8858858858858859,0.3722590214168318,0.8339673913043478,0.7608695652173914,0.9021739130434783,0.8892512855337011,0.7523139642169449,0.9812014409640991,1.0,1.0,1.0,0.16705379875710505,0.04062500000000002,0.3753472222222223,,,,,,
handpd:spiral,efficientnet_b0,leakage_probe,image,3,,,,,,,,,,,,,,,,,,,,0.967391304347826,0.8848314606741573,1.0,0.5105105105105104,0.5991460210210211,0.8043478260869565
handpd:spiral,vgg16,P1_image,image,4,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.8315503003003004,0.0,0.8025,0.7282608695652174,0.8804347826086957,0.8333206893831963,0.7644575788061704,0.8959814078784667,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:spiral,vgg16,P1_image,subject,4,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.8783783783783784,0.0,0.8023913043478259,0.7279891304347826,0.8804347826086957,0.8833301247556224,0.7682785354217302,0.97747776997777,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:spiral,vgg16,P2_subject,image,4,0.8070652173913043,0.5069444444444444,1.0,0.013888888888888888,0.8929110105580694,0.653903903903904,0.10583920649955453,0.8047010869565218,0.7171875,0.8695652173913043,0.6552593102944724,0.5024147093141234,0.7762942325367647,1.0,1.0,1.0,0.012918945622148254,0.0,0.04418658088235296,,,,,,
