dataset,model,protocol,level,seed,accuracy,balanced_accuracy,sensitivity,specificity,f1,roc_auc,mcc,accuracy_bootmean,accuracy_lo95,accuracy_hi95,roc_auc_bootmean,roc_auc_lo95,roc_auc_hi95,sensitivity_bootmean,sensitivity_lo95,sensitivity_hi95,specificity_bootmean,specificity_lo95,specificity_hi95,p1_leak_fraction,acc_same_subject_seen,acc_subject_unseen,permutation_floor_balacc,permutation_floor_auc,permutation_floor_acc
handpd:meander,resnet50,P2_subject,subject,4,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.9076576576576576,0.0,0.8023913043478259,0.7279891304347826,0.8804347826086957,0.9120837858808721,0.8225359570301054,0.9747478282452221,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:meander,resnet50,leakage_probe,image,4,,,,,,,,,,,,,,,,,,,,0.9456521739130435,0.8045977011494253,0.8,0.5,0.5842248498498498,0.8043478260869565
handpd:meander,efficientnet_b0,P1_image,image,4,0.8342391304347826,0.5816441441441441,0.9966216216216216,0.16666666666666666,0.9062980030721967,0.9184027777777778,0.3508983188501815,0.8334782608695653,0.7661684782608695,0.8916440217391305,0.9187173649023476,0.8427315062248493,0.9721834116133432,0.9967536906069082,0.9895833333333334,1.0,0.16994281245098733,0.0693530701754386,0.27941176470588236,,,,,,
handpd:meander,efficientnet_b0,P1_image,subject,4,0.8260869565217391,0.5555555555555556,1.0,0.1111111111111111,0.9024390243902439,0.9444444444444445,0.302254900194121,0.8258152173913044,0.7605978260869566,0.8915760869565218,0.9482522405653901,0.8483259936580831,0.9960790679908327,1.0,1.0,1.0,0.11826546525204373,0.0,0.2502717391304348,,,,,,
handpd:meander,efficientnet_b0,P2_subject,image,4,0.8342391304347826,0.5816441441441441,0.9966216216216216,0.16666666666666666,0.9062980030721967,0.8955518018018018,0.3508983188501815,0.8315760869565219,0.7554347826086957,0.8914402173913043,0.8953838348053484,0.7817909642269737,0.9653139592075479,0.99649268702385,0.9869951965842376,1.0,0.16100380476670864,0.04540513833992095,0.2917279411764706,,,,,,
handpd:meander,efficientnet_b0,P2_subject,subject,4,0.8152173913043478,0.5277777777777778,1.0,0.05555555555555555,0.896969696969697,0.9234234234234234,0.21254892419639573,0.8141304347826087,0.7391304347826086,0.8807065217391306,0.9277174401281875,0.8216558519586638,0.9969411764705882,1.0,1.0,1.0,0.05833993452362041,0.0,0.18181818181818182,,,,,,
handpd:meander,efficientnet_b0,leakage_probe,image,4,,,,,,,,,,,,,,,,,,,,0.9456521739130435,0.8333333333333334,0.85,0.4938063063063063,0.5680367867867868,0.7690217391304348
handpd:meander,vgg16,P1_image,image,5,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.8454861111111112,0.0,0.7994021739130435,0.7065217391304348,0.8804347826086957,0.8471382346005903,0.7827128286210319,0.8929620098039215,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:meander,vgg16,P1_image,subject,5,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.9061561561561561,0.0,0.8011413043478263,0.717391304347826,0.8804347826086957,0.9052946950344737,0.8379076597744362,0.96121336996337,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:meander,vgg16,P2_subject,image,5,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.8552458708708709,0.0,0.8035869565217391,0.7282608695652174,0.8915760869565218,0.8559440401158954,0.762549503569835,0.9417852832825203,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:meander,vgg16,P2_subject,subject,5,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.8753753753753754,0.0,0.8011413043478263,0.717391304347826,0.8804347826086957,0.8746982679998717,0.7744969846491229,0.943952381299173,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:meander,vgg16,leakage_probe,image,5,,,,,,,,,,,,,,,,,,,,0.9782608695652174,0.8,1.0,0.5,0.5014545795795796,0.8043478260869565
handpd:meander,resnet50,P1_image,image,5,0.8070652173913043,0.5069444444444444,1.0,0.013888888888888888,0.8929110105580694,0.8493337087087086,0.10583920649955453,0.8024048913043478,0.7173233695652174,0.8805027173913044,0.8519184837671816,0.7591606560633459,0.9322839179527399,1.0,1.0,1.0,0.01523496018688129,0.0,0.04411764705882353,,,,,,
handpd:meander,resnet50,P1_image,subject,5,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.9069069069069071,0.0,0.8011413043478263,0.717391304347826,0.8804347826086957,0.9069155275816171,0.8164380745313625,0.9786479100212654,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:meander,resnet50,P2_subject,image,5,0.8070652173913043,0.5069444444444444,1.0,0.013888888888888888,0.8929110105580694,0.8653340840840841,0.10583920649955453,0.8063043478260871,0.7309103260869565,0.896875,0.8641295780903647,0.7908240766478503,0.9382383477650929,1.0,1.0,1.0,0.014215974865522785,0.0,0.04695312500000002,,,,,,
handpd:meander,resnet50,P2_subject,subject,5,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.8993993993993994,0.0,0.8011413043478263,0.717391304347826,0.8804347826086957,0.8987880215560629,0.8267348008876487,0.9562673611111111,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:meander,resnet50,leakage_probe,image,5,,,,,,,,,,,,,,,,,,,,0.9782608695652174,0.8027777777777778,1.0,0.5,0.5753566066066067,0.8043478260869565
handpd:meander,efficientnet_b0,P1_image,image,5,0.8288043478260869,0.5677552552552553,0.9966216216216216,0.1388888888888889,0.9035222052067381,0.8628003003003003,0.3156855000652589,0.8250271739130435,0.7605298913043479,0.8915081521739131,0.8643998991027679,0.790687754530184,0.9259035841609371,0.9966816934767277,0.9897224600456621,1.0,0.13956333901215842,0.06666666666666667,0.2361293859649123,,,,,,
handpd:meander,efficientnet_b0,P1_image,subject,5,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.9129129129129129,0.0,0.8011413043478263,0.717391304347826,0.8804347826086957,0.9138013481452398,0.8211607786589762,0.9715152274663611,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:meander,efficientnet_b0,P2_subject,image,5,0.8315217391304348,0.5746996996996997,0.9966216216216216,0.1527777777777778,0.9049079754601227,0.8805367867867868,0.33369164532409695,0.8312635869565219,0.7580842391304348,0.9130434782608695,0.8822381939877865,0.810526979932598,0.9454127641360873,0.9967661191313444,0.9898648648648649,1.0,0.15520693374420327,0.07482954545454545,0.2750694444444445,,,,,,
handpd:meander,efficientnet_b0,P2_subject,subject,5,0.8152173913043478,0.5277777777777778,1.0,0.05555555555555555,0.896969696969697,0.927927927927928,0.21254892419639573,0.8131521739130434,0.7388586956521739,0.8913043478260869,0.9288326869155253,0.8271023696393762,0.9844209324430844,1.0,1.0,1.0,0.061674958528528216,0.0,0.2,,,,,,
handpd:meander,efficientnet_b0,leakage_probe,image,5,,,,,,,,,,,,,,,,,,,,0.9782608695652174,0.825,1.0,0.5088213213213213,0.5825825825825826,0.8016304347826086
