dataset,model,protocol,level,n_train_subjects,n_test_subjects,n_overlapping_subjects,overlap_fraction_of_test,seed,accuracy,balanced_accuracy,sensitivity,specificity,f1,roc_auc,mcc,accuracy_bootmean,accuracy_lo95,accuracy_hi95,roc_auc_bootmean,roc_auc_lo95,roc_auc_hi95,sensitivity_bootmean,sensitivity_lo95,sensitivity_hi95,specificity_bootmean,specificity_lo95,specificity_hi95,p1_leak_fraction,acc_same_subject_seen,acc_subject_unseen,permutation_floor_balacc,permutation_floor_auc,permutation_floor_acc
kaggle:wave,resnet50,P1_image,image,,,,,4.0,0.6666666666666666,0.6666666666666667,0.47058823529411764,0.8627450980392157,0.5853658536585366,0.7174163783160323,0.3623588728715644,0.6673702733698477,0.5474089635854342,0.7747549019607844,0.7265048068391458,0.5995891203703703,0.8591405122655124,0.4768826697222427,0.3328125,0.6252480158730159,0.8673922472033014,0.7666666666666667,0.9667424242424243,,,,,,
kaggle:wave,resnet50,P1_image,subject,,,,,4.0,0.6428571428571429,0.6615384615384616,0.4,0.9230769230769231,0.5454545454545454,0.7282051282051282,0.3721042037676254,0.6366071428571428,0.4642857142857143,0.8214285714285714,0.7294247736689756,0.5167739403453688,0.8723554421768707,0.3943972471456991,0.15357142857142858,0.6156250000000001,0.9224814368852683,0.763921568627451,1.0,,,,,,
kaggle:wave,resnet50,P2_subject,image,,,,,4.0,0.6666666666666666,0.6666666666666667,0.47058823529411764,0.8627450980392157,0.5853658536585366,0.7489427143406382,0.3623588728715644,0.6622180144351617,0.5234920634920636,0.7962962962962963,0.7366870315185792,0.5520849080372892,0.8778941197691199,0.46182580200426654,0.21202651515151516,0.6213680926916222,0.8589176012514992,0.7178571428571429,0.971098104793757,,,,,,
kaggle:wave,resnet50,P2_subject,subject,,,,,4.0,0.6785714285714286,0.6897435897435897,0.5333333333333333,0.8461538461538461,0.64,0.717948717948718,0.3949827793858816,0.6748214285714285,0.5357142857142857,0.8214285714285714,0.7137518700508667,0.4997448979591837,0.8598157586898397,0.527351399052444,0.28523809523809524,0.7694444444444445,0.8470493797997668,0.6660714285714285,1.0,,,,,,
kaggle:wave,resnet50,leakage_probe,image,,,,,4.0,,,,,,,,,,,,,,,,,,,,0.9117647058823529,0.6666666666666666,0.6666666666666666,0.5426900584795322,0.5571150097465887,0.5882352941176471
kaggle:wave,efficientnet_b0,P1_image,image,,,,,4.0,0.5980392156862745,0.5980392156862745,0.7450980392156863,0.45098039215686275,0.6495726495726496,0.6732026143790849,0.20515248496555455,0.6000137312979418,0.4895833333333333,0.69796875,0.6691299063269409,0.5595171957671958,0.7845188729399256,0.7471343132890751,0.6221428571428571,0.8614583333333334,0.4385161919840242,0.28538961038961036,0.5898148148148148,,,,,,
kaggle:wave,efficientnet_b0,P1_image,subject,,,,,4.0,0.6071428571428571,0.6025641025641025,0.6666666666666666,0.5384615384615384,0.6451612903225806,0.7487179487179487,0.20672455764868078,0.6058928571428571,0.39285714285714285,0.7857142857142857,0.7399702091293824,0.5310243055555556,0.9114788925438596,0.6610989488667508,0.42857142857142855,0.8890350877192982,0.5409855025005953,0.24951923076923077,0.8464285714285715,,,,,,
kaggle:wave,efficientnet_b0,P2_subject,image,,,,,4.0,0.6274509803921569,0.6274509803921569,0.27450980392156865,0.9803921568627451,0.42424242424242425,0.6797385620915033,0.3598637460328732,0.6241095244638664,0.4641369047619048,0.7974864130434783,0.6703539602897203,0.4850974291231644,0.8417753893615963,0.27959245045619857,0.14496527777777782,0.4585416666666667,0.9773173403443863,0.9090909090909091,1.0,,,,,,
kaggle:wave,efficientnet_b0,P2_subject,subject,,,,,4.0,0.6071428571428571,0.6333333333333333,0.26666666666666666,1.0,0.42105263157894735,0.6205128205128205,0.38005847503304596,0.6053571428571428,0.42857142857142855,0.7857142857142857,0.6157301717237932,0.41015625,0.8218821619556914,0.26601615324390093,0.06240808823529412,0.4706656346749226,1.0,1.0,1.0,,,,,,
kaggle:wave,efficientnet_b0,leakage_probe,image,,,,,4.0,,,,,,,,,,,,,,,,,,,,0.9117647058823529,0.6129032258064516,0.4444444444444444,0.552046783625731,0.5376218323586744,0.5882352941176471
kaggle:wave,vgg16,P1_image,image,,,,,5.0,0.7058823529411765,0.7058823529411765,0.8627450980392157,0.5490196078431373,0.7457627118644068,0.849288735101884,0.4336585079213105,0.7062967013371931,0.598000515995872,0.8111764705882353,0.8425643539277528,0.7484310699588478,0.9279807833627277,0.8563425121736878,0.7178571428571429,0.9696969696969697,0.5486651455541418,0.3920751633986928,0.694675925925926,,,,,,
kaggle:wave,vgg16,P1_image,subject,,,,,5.0,0.6785714285714286,0.6641025641025642,0.8666666666666667,0.46153846153846156,0.7428571428571429,0.8923076923076922,0.36232865092627065,0.6805357142857141,0.5,0.8571428571428571,0.8891533469177372,0.7609336007130124,0.9946578911284794,0.8608307782343068,0.6660714285714285,1.0,0.4728238456375066,0.19968750000000002,0.73375,,,,,,
kaggle:wave,vgg16,P2_subject,image,,,,,5.0,0.5980392156862745,0.5980392156862745,0.8431372549019608,0.35294117647058826,0.6771653543307087,0.7016532103037292,0.2249606353329238,0.6013538495229588,0.43727678571428574,0.7685763888888889,0.702999692041113,0.5460400747308728,0.8407992083285556,0.8427960802575302,0.6869791666666667,0.9607843137254902,0.35743172837142695,0.133125,0.5385416666666667,,,,,,
kaggle:wave,vgg16,P2_subject,subject,,,,,5.0,0.6071428571428571,0.5871794871794872,0.8666666666666667,0.3076923076923077,0.7027027027027027,0.6461538461538461,0.2119213177352503,0.6133928571428572,0.42857142857142855,0.7857142857142857,0.6515967386812304,0.4509693877551021,0.8438550804093568,0.861680576540837,0.6921875,1.0,0.32686423286036287,0.09071969696969698,0.6010714285714288,,,,,,
kaggle:wave,vgg16,leakage_probe,image,,,,,5.0,,,,,,,,,,,,,,,,,,,,0.8529411764705882,0.6896551724137931,0.8,0.5256410256410257,0.5197395197395197,0.5588235294117647
kaggle:wave,resnet50,P1_image,image,,,,,5.0,0.6666666666666666,0.6666666666666667,0.5490196078431373,0.7843137254901961,0.6222222222222222,0.7377931564782776,0.34296226851232137,0.6684991820191546,0.5587418300653595,0.7857936507936508,0.7359530406267594,0.5931848244348245,0.8467669683257919,0.5414668319635683,0.3333333333333333,0.701803118908382,0.8015746568603879,0.655874153723616,0.9525297619047619,,,,,,
kaggle:wave,resnet50,P1_image,subject,,,,,5.0,0.7857142857142857,0.7948717948717949,0.6666666666666666,0.9230769230769231,0.7692307692307693,0.8153846153846154,0.6022263188761575,0.7823214285714286,0.6071428571428571,0.8928571428571429,0.8148617605447321,0.6577204168380638,0.9324218750000001,0.6631118977961958,0.44375,0.875,0.9239534094431542,0.7495833333333334,1.0,,,,,,
